Study_Hours,Attendance,Assignment marks,Previous_Marks,Result
2,52,65,87,Pass
8,52,81,37,Pass
4,31,30,88,Pass
4,51,85,94,Pass
4,62,43,37,Pass
8,60,87,96,Pass
4,43,88,26,Pass
7,52,43,87,Pass
7,57,72,20,Pass
7,52,75,34,Pass
1,34,42,79,Fail
8,47,58,35,Pass
9,70,38,40,Pass
1,95,48,35,Pass
4,56,74,25,Pass
4,63,56,64,Pass
4,83,20,43,Pass
1,56,21,85,Pass
4,89,67,77,Pass
2,89,44,94,Pass
5,38,83,88,Pass
3,83,42,57,Pass
3,40,20,34,Fail
8,61,40,30,Pass
8,99,46,73,Pass
6,48,91,47,Pass
0,61,79,49,Pass
7,36,82,93,Pass
2,46,65,31,Fail
3,88,38,35,Pass
6,52,20,57,Pass
5,75,87,54,Pass
5,40,20,94,Pass
9,54,20,39,Pass
1,58,29,69,Pass
9,80,36,81,Pass
1,44,46,37,Fail
3,48,44,65,Pass
0,33,90,85,Fail
4,69,78,93,Pass
0,30,56,79,Fail
2,96,42,49,Pass
2,82,55,89,Pass
9,91,51,83,Pass
4,47,46,25,Fail
5,45,85,44,Pass
6,33,61,94,Pass
3,76,21,93,Pass
7,72,85,41,Pass
0,95,65,42,Fail
2,65,44,68,Pass
8,41,65,47,Pass
1,59,94,51,Fail
6,57,54,23,Pass
6,85,81,51,Pass
7,52,27,70,Pass
8,33,71,57,Pass
9,83,42,86,Pass
0,32,35,30,Fail
7,81,72,96,Pass
5,30,89,20,Pass
2,44,61,62,Pass
8,68,24,33,Pass
4,44,85,91,Pass
8,87,60,72,Pass
2,77,64,26,Pass
5,59,80,24,Pass
3,59,96,26,Pass
6,55,62,54,Pass
0,91,49,49,Pass
9,87,88,91,Pass
0,41,65,63,Fail
2,44,88,67,Pass
8,60,68,23,Pass
6,81,59,58,Pass
2,93,23,82,Pass
7,71,27,99,Pass
8,48,25,44,Pass
7,50,66,81,Pass
6,31,25,54,Pass
3,78,27,59,Pass
7,49,54,49,Pass
0,39,39,74,Fail
3,39,64,40,Pass
2,52,22,68,Fail
2,46,93,24,Pass
2,95,43,58,Pass
9,37,47,22,Pass
1,69,56,41,Fail
7,64,88,77,Pass
2,30,76,71,Pass
3,60,63,40,Pass
4,78,44,69,Pass
9,60,88,54,Pass
